Key = key-19157, ValueA = , ValueB = value-3157877235368324917, Score = 1
Key = key-758782, ValueA = , ValueB = value-4709387793799708389, Score = 1
Key = key-25609, ValueA = , ValueB = value-8890427422294285014, Score = 1
Key = key-829152, ValueA = , ValueB = value-194166674101936543, Score = 1
Key = key-842134, ValueA = , ValueB = value-440031648596170195, Score = 1
Key = key-853734, ValueA = , ValueB = value-238920189715576205, Score = 1
Key = key-159545, ValueA = , ValueB = value-5315524009987317928, Score = 1
Key = key-296129, ValueA = , ValueB = value-948373320689326980, Score = 1
Key = key-129951, ValueA = , ValueB = value-6858249241217267317, Score = 1
Key = key-757723, ValueA = , ValueB = value-5845856237749113520, Score = 1
Key = key-505337, ValueA = , ValueB = value-5574497223959009818, Score = 1
Key = key-574575, ValueA = , ValueB = value-2614386277898257430, Score = 1
Key = key-352272, ValueA = , ValueB = value-2763684926884196850, Score = 1
Key = key-647310, ValueA = , ValueB = value-5951825310603052290, Score = 1
Key = key-175649, ValueA = , ValueB = value-1122591895620838498, Score = 1
Key = key-993412, ValueA = , ValueB = value-1285325437966820916, Score = 1
Key = key-344751, ValueA = , ValueB = value-506253436736265396, Score = 1
Key = key-147771, ValueA = , ValueB = value-4985757054802878367, Score = 1
Key = key-30460, ValueA = , ValueB = value-1773649840937467168, Score = 1
Key = key-153171, ValueA = , ValueB = value-8265113257605844542, Score = 1
Key = key-176485, ValueA = , ValueB = value-4906826598043336486, Score = 1
Key = key-186835, ValueA = , ValueB = value-7855355941586263786, Score = 1
Key = key-829811, ValueA = , ValueB = value-6618714172149206231, Score = 1
Key = key-175186, ValueA = , ValueB = value-6807264584146996145, Score = 1
Key = key-442001, ValueA = , ValueB = value-1723202764718883102, Score = 1
Key = key-430504, ValueA = , ValueB = value-8425194329865067657, Score = 1
Key = key-216702, ValueA = , ValueB = value-1382816325349815265, Score = 1
Key = key-346913, ValueA = , ValueB = value-7681064500508522915, Score = 1
Key = key-804947, ValueA = , ValueB = value-5220990156934463308, Score = 1
Key = key-910195, ValueA = , ValueB = value-6871310316566891214, Score = 1
Key = key-265097, ValueA = , ValueB = value-7775226750511311701, Score = 1
Key = key-55570, ValueA = , ValueB = value-860237331428457002, Score = 1
Key = key-605319, ValueA = , ValueB = value-5117148595906163891, Score = 1
Key = key-184940, ValueA = , ValueB = value-4063281107108739641, Score = 1
Key = key-438835, ValueA = , ValueB = value-2807900642342691995, Score = 1
Key = key-54093, ValueA = , ValueB = value-7271185406551166139, Score = 1
Key = key-74933, ValueA = , ValueB = value-5741691454234370743, Score = 1
Key = key-561926, ValueA = , ValueB = value-6303142527806037453, Score = 1
Key = key-944305, ValueA = , ValueB = value-2439251034375852968, Score = 1
Key = key-682982, ValueA = , ValueB = value-4722367937056088986, Score = 1
Key = key-604196, ValueA = , ValueB = value-4675156969438291495, Score = 1
Key = key-390054, ValueA = , ValueB = value-5389433824914709824, Score = 1
Key = key-715378, ValueA = , ValueB = value-886528379903018854, Score = 1
Key = key-716788, ValueA = , ValueB = value-6207798652623584710, Score = 1
Key = key-281046, ValueA = , ValueB = value-5289771271741759973, Score = 1
Key = key-354486, ValueA = , ValueB = value-1487188219404567981, Score = 1
Key = key-869960, ValueA = , ValueB = value-6412941266215779527, Score = 1
Key = key-366620, ValueA = , ValueB = value-8024113949430308099, Score = 1
Key = key-919128, ValueA = , ValueB = value-5038327054583634487, Score = 1
